table_name,column_name,foreign_table_name,foreign_column_name
attestations,learner_user_id,auth.users,id
attestations,skill_id,declared_skills,id
audit_logs,actor_user_id,auth.users,id
audit_logs,profile_id,profiles,id
credential_shares,credential_id,credentials,id
credential_shares,profile_id,profiles,id
credentials,decentralized_identity_id,decentralized_identities,id
credentials,evidence_record_id,evidence_records,id
credentials,skill_id,declared_skills,id
credentials,user_id,auth.users,id
decentralized_identities,learner_user_id,learner_profiles,user_id
declared_skills,user_id,auth.users,id
disclosed_attributes,credential_share_id,credential_shares,id
evidence_records,github_repo_uuid,github_repos,id
evidence_records,lms_evidence_id,lms_evidence,id
evidence_records,mapped_skill_id,declared_skills,id
evidence_records,suggested_skill_id,declared_skills,id
evidence_records,sync_log_id,github_sync_logs,id
evidence_records,user_id,auth.users,id
github_activities,github_repo_uuid,github_repos,id
github_activities,linked_skill_id,declared_skills,id
github_activities,user_id,auth.users,id
github_connections,user_id,auth.users,id
github_repo_contributors,github_repo_uuid,github_repos,id
github_repo_contributors,user_id,auth.users,id
github_repo_skill_links,evidence_record_id,evidence_records,id
github_repo_skill_links,github_repo_id,github_repos,id
github_repo_skill_links,skill_id,declared_skills,id
github_repo_skill_links,user_id,auth.users,id
github_repos,github_connection_user_id,github_connections,user_id
github_repos,linked_skill_id,declared_skills,id
github_repos,user_id,auth.users,id
github_sync_logs,github_connection_user_id,github_connections,user_id
github_sync_logs,user_id,auth.users,id
institution_profiles,user_id,auth.users,id
learner_profiles,institution_id,institution_profiles,user_id
learner_profiles,user_id,auth.users,id
lms_connections,user_id,auth.users,id
lms_evidence,evidence_record_id,evidence_records,id
lms_evidence,linked_skill_id,declared_skills,id
lms_evidence,moodle_assignment_id_uuid,moodle_assignments,id
lms_evidence,user_id,auth.users,id
mcq_task_attempts,github_connection_user_id,github_connections,user_id
mcq_task_attempts,learner_user_id,auth.users,id
mcq_task_attempts,skill_id,declared_skills,id
moodle_assignments,course_id,moodle_courses,id
moodle_assignments,user_id,auth.users,id
moodle_courses,lms_connection_id,lms_connections,id
moodle_courses,user_id,auth.users,id
moodle_feedback,assignment_id,moodle_assignments,id
moodle_feedback,user_id,auth.users,id
notifications,peer_review_invite_id,peer_review_invites,id
notifications,recipient_user_id,auth.users,id
notifications,review_request_id,review_requests,id
notifications,reviewer_context_id,reviewer_contexts,id
peer_review_invites,completed_review_id,peer_reviews,id
peer_review_invites,evidence_record_id,evidence_records,id
peer_review_invites,learner_user_id,auth.users,id
peer_review_invites,reviewer_context_id,reviewer_contexts,id
peer_review_invites,skill_id,declared_skills,id
peer_reviews,evidence_record_id,evidence_records,id
peer_reviews,invitation_id,review_invitations,id
peer_reviews,learner_user_id,auth.users,id
peer_reviews,mcq_task_attempt_id,mcq_task_attempts,id
peer_reviews,review_request_id,review_requests,id
peer_reviews,reviewer_user_id,auth.users,id
peer_reviews,skill_id,declared_skills,id
peer_reviews,user_id,auth.users,id
practical_attempts,github_connection_user_id,github_connections,user_id
practical_attempts,skill_id,declared_skills,id
practical_attempts,user_id,auth.users,id
presentations,candidate_user_id,auth.users,id
presentations,credential_id,credentials,id
presentations,user_id,auth.users,id
profiles,id,auth.users,id
recruiter_profiles,user_id,auth.users,id
recruiter_profiles,verified_by,auth.users,id
review_invitations,completed_review_id,peer_reviews,id
review_invitations,learner_user_id,auth.users,id
review_invitations,skill_id,declared_skills,id
review_requests,completed_review_id,peer_reviews,id
review_requests,evidence_record_id,evidence_records,id
review_requests,learner_user_id,auth.users,id
review_requests,reviewer_context_id,reviewer_contexts,id
review_requests,skill_id,declared_skills,id
reviewer_contexts,evidence_record_id,evidence_records,id
reviewer_contexts,user_id,auth.users,id
selective_disclosure_presentations,competency_id,declared_skills,id
selective_disclosure_presentations,credential_share_id,credential_shares,id
selective_disclosure_presentations,learner_id,auth.users,id
skill_evidence_links,evidence_record_id,evidence_records,id
skill_evidence_links,mcq_task_attempt_id,mcq_task_attempts,id
skill_evidence_links,practical_attempt_id,practical_attempts,id
skill_evidence_links,review_request_id,review_requests,id
skill_evidence_links,skill_id,declared_skills,id
skill_evidence_links,user_id,auth.users,id
student_activation_tokens,institution_id,institution_profiles,user_id
student_activation_tokens,user_id,auth.users,id
user_roles,user_id,auth.users,id
verification_requests,credential_share_id,credential_shares,id
verification_requests,learner_user_id,auth.users,id
verification_requests,recruiter_user_id,recruiter_profiles,user_id
verification_results,verification_request_id,verification_requests,id
wallet_competency_records,competency_id,declared_skills,id
wallet_competency_records,learner_id,auth.users,id
